Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:15:58.898620

Data ID,WWU_Sulf_15         
Sample ID,Ca_Sulf_15
Mineral Name,60% Anhydrite-40% Gypsum
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,Synthetic calcium sulfate

Wavelength
1398.0,0.912554084
1399.0,0.909532489
1400.0,0.906499458
1401.0,0.903410151
1402.0,0.900242848
1403.0,0.897093563
1404.0,0.893916882
1405.0,0.890749168
1406.0,0.887556444
1407.0,0.884387166
1408.0,0.881199377
1409.0,0.878068358
1410.0,0.874951654
1411.0,0.871872221
1412.0,0.868773946
1413.0,0.86581167
1414.0,0.862889873
1415.0,0.860075115
1416.0,0.857364598
1417.0,0.854751986
1418.0,0.852185037
1419.0,0.849765029
1420.0,0.847435277
1421.0,0.84527328
1422.0,0.843255182
1423.0,0.841355145
1424.0,0.839650428
1425.0,0.838095778
1426.0,0.836742041
1427.0,0.835569801
1428.0,0.834553223
1429.0,0.833692966
1430.0,0.833048433
1431.0,0.832580376
1432.0,0.832290442
1433.0,0.832214915
1434.0,0.832290359
1435.0,0.832519328
1436.0,0.832925679
1437.0,0.833551455
1438.0,0.834272752
1439.0,0.835154401
1440.0,0.836140618
1441.0,0.837272133
1442.0,0.83847646
1443.0,0.839815059
1444.0,0.841204172
1445.0,0.842696458
1446.0,0.844211287
1447.0,0.845772931
1448.0,0.847412981
1449.0,0.849022425
1450.0,0.850657373
1451.0,0.852284753
1452.0,0.853925133
1453.0,0.855545108
1454.0,0.857185733
1455.0,0.858765065
1456.0,0.860329013
1457.0,0.861836519
1458.0,0.863287586
1459.0,0.864729767
1460.0,0.866148335
1461.0,0.867520665
1462.0,0.868868972
1463.0,0.870175483
1464.0,0.871426871
1465.0,0.872657608
1466.0,0.873854036
1467.0,0.875033187
1468.0,0.876183954
1469.0,0.877311108
1470.0,0.878407821
1471.0,0.879498856
1472.0,0.880560108
1473.0,0.881620539
1474.0,0.882654064
1475.0,0.883716304
1476.0,0.884788664
1477.0,0.885852467
1478.0,0.886964729
1479.0,0.888111299
1480.0,0.889269882
1481.0,0.890444426
1482.0,0.891656897
1483.0,0.892886071
1484.0,0.894166913
1485.0,0.895482885
1486.0,0.896848469
1487.0,0.898276664
1488.0,0.899703377
1489.0,0.901157653
1490.0,0.902646565
1491.0,0.904164193
1492.0,0.905689553
1493.0,0.907271928
1494.0,0.9088223
1495.0,0.910353501
1496.0,0.911900499
1497.0,0.913470945
1498.0,0.915007742
1499.0,0.916573499
1500.0,0.918063481
1501.0,0.919474974
1502.0,0.920901604
